4846	specificAttributes	outside	inside	floot	water	water ground	constr	245	243	1
6443	specificAttributes	190T Polyester Ripstop Fire & waterresistent	190T Nylon Ripstop Breathable	210T Nylon	5,000 mm	10,000 mm	Aluminium 8.5 mm	17 pcs, Aluminium V-Shape	4.74	1
6444	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6483	specificAttributes	190T Polyester	190T Nylon breathable	210T nylon	5,000 mm	10,000 mm	Aluminium 8.5 mm	20 Pcs, Aluminium	4	1
6484	specificAttributes	190T Polyester	Breathable polyester	PE	2,000 mm	10,000 mm	3 Pcs Fibreglass 7.9 mm	Pegs steel	3.2	1
6487	specificAttributes	30D 280T Polyester	\N	210T Nylon	3,000 mm	3,000 mm	Aliminium 8.5 mm	10 Pcs, Aluminium	0.99	1
6490	specificAttributes	190T Polyester	Breathable polyester	PE	2,000 mm	10,000 mm	3 Pcs Fibreglass 7.9 mm	Pegs steel	4	1
6492	specificAttributes	190T Polyester	Breathable polyester	PE	2,000 mm 	10,000 mm	3 Pcs Fibreglass 9.5 mm	Pegs steel	6.9	1
6494	specificAttributes	190T Polyester	Breathable polyester	PE	3,000 mm	10,000 mm	3 Pcs Fibreglass 11mm, 2 Pcs Steel 16 mm	Pegs steel	11.3	1
6496	specificAttributes	190T Polyester	Breathable polyester	PE	2,000 mm	10,000 mm	3 Pcs Fibreglass 7.9 mm	Pegs steel	3.9	1
6497	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6498	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6499	specificAttributes	190T Polyester	Breathable Polyester	PE	3,000 mm	4,000 mm	3 Pcs Fibreglass 8.5 mm	Pegs steel	4.3	1
6500	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6502	specificAttributes	190T Polyester	Breathable polyester	PE	3,000 mm	10,000 mm	3 Pcs 11 mm Fibreglass 	Pegs Steel	12.7	1
6503	specificAttributes	190T Polyester	Breathable polyester	PE	2,000 mm	3,000 mm	Fibreglass 7.9 mm	2 Pcs Steel 	2.95	1
6505	specificAttributes	190T Polyester	Breathable polyester	PE+ADD Floor	2,000 mm	10,000 mm	3 Pcs Fibreglass 8.5 mm	Pegs steel 	4.6	1
6506	specificAttributes	190T Polyester	\N	PE	1,500 mm	\N	1 Pcs Fibreglass 6 mm	Pegs steel	2.2	0
6507	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6508	specificAttributes	190T Polyester	Breathable polyester	PE+ADD Floor	2,000 mm 	10,000 mm	3 Pcs Fiberglass 9.5 mm	Pegs steel	5.3	1
6510	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6511	specificAttributes	190T Polyester	Breathable polyester	PE	3,000 mm	10,000 mm	5 Pcs 11 mm Fibreglass	Pegs steel	18.8	1
6512	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6513	specificAttributes	190T Polyester	Breathable polyester	PE	3,000 mm	10,000 mm	3 Pcs Fiberglass 9.5mm, 2 Pcs steel 16 mm	Pegs steel	9.6	1
6514	specificAttributes	190T Polyester Ripstop Fire & waterresistent	190T Nylon Ripstop Breathable	210T Nylon	5,000 mm	10,000 mm	Aluminium 9.5 mm	17 pcs, Aluminium V-shape	3.97	1
6516	specificAttributes	40D 240T Nylon Ripstop	30D Nylon Ripstop beathable 	210T Nylon 	4,000 mm	5,000 mm	Aluminium 8.64 mm	19 Pcs, Aluminium V-shape	2.58	0
6517	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6518	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6519	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6522	specificAttributes	190T Polyester	190T Nylon Ripstop breathable	210T Nylon	3,000 mm	3,000 mm	Aluminium 8.5 mm	16 Pcs, Aluminium	2.9	1
6524	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6526	specificAttributes	190T Polyester 	Breathable polyester	PE	2,000 mm	10,000 mm	3 Pcs Fibreglass 9.5 mm	Pegs steel 	6.14	1
6527	specificAttributes	190T Polyester	Beathable polyester	PE	3,000 mm	4,000 mm	3 Pcs Fibreglass 9.5 mm	Pegs Steel	5.4	1
6528	specificAttributes	190T Polyester 	Breathable polyester	PE	2,000 mm	10,000 mm	3 Pcs Fibreglass 8.5mm 	Pegs steel 	4.3	1
6529	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6530	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6531	specificAttributes	190T Polyester	Breathable polyester	PE+ADD Floor	2,000 mm	10,000 mm	3 Pcs Fibreglass 7.9 mm	Pegs steel	4	1
6533	specificAttributes	190T Polyester 	190T Polyester Nylon Ripstop Breathable	210T Nylon 	3,000 mm	3,000 mm	Aluminium 1.9 kg	15 Pcs, Aluminium	1.9	1
6534	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6536	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6537	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6539	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6540	specificAttributes	190T Polyester	\N	PE	450 mm	\N	2 Pcs Fibreglass 7.9 mm	Pegs steel	2	0
6541	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6543	specificAttributes	30D 280T Polyester Ripstop	190T Nylon Ripstop breathable 	210T Nylon	3,000 mm	3,000 mm	Aluminium 8.5 mm	11 Pcs, Aluminium	1.29	1
6545	specificAttributes	190T Polyester	\N	190T Polyester	450 mm	\N	2 Pcs Fibreglass 6 mm	Pegs steel	1.1	0
6547	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6548	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6549	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6550	specificAttributes	190T Polyester	Breathable Polyester	PE	3,000 mm	10,000 mm	4Pcs Fibreglass 11 mm, 2 Pcs steel 16 mm	Pegs steel	13.9	1
6551	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6553	specificAttributes	Polyester	\N	PE	300 mm	\N	2 Pcs fibreglass 7 mm, 1 Pcs fibreglass 7.9 mm	Pegs steel	1.65	0
6555	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6556	specificAttributes	190T Polyester	190T Nylon breathable	210T Nylon	5,000 mm	10,000 mm	Aluminium 8.5 mm	20 Pcs, Aluminium 	4.83	1
6557	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6558	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6559	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
6560	specificAttributes	190T Polyester	Breathable polyester	150D Oxford	1,500 mm	2,000 mm	1 Pcs Fibreglass 6 mm	Pegs steel	2.9	0
6561	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7034	specificAttributes	190T Polyester	Breathable Polyester	PE	3,000 mm	10,000 mm	Fibreglass 11 mm, Steel 16 mm	Pegs steel	13.5	1
7035	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7036	specificAttributes	75 D 190T Nylon Ripstop Breathable	75D 190T Polyester Ripstop Fire- & waterresistant	210T Nylon	5,000 mm	7,000 mm	Aluminium 9.5 mm	Aluminium Y-Shape	3.5	1
7037	specificAttributes	190T Polyester	Breathable polyester	150D Oxford	1,500 mm	2,000 mm	Fibreglass 6 mm	Pegs steel	2.9	1
7040	specificAttributes	Breathable Polyester	190T Polyester	PE	2,000 mm	10,000 mm	Fibreglass 7.9 mm	Pegs steel	3.4	1
7041	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7043	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7048	specificAttributes	190T Polyester	Breathable polyester	PE	2,000 mm	10,000 mm	Fibreglass 7.9 mm	Pegs steel	3.6	1
7049	specificAttributes	75D 190T Poyester Ripstop Breathable	75D 190T Polyester Honeycomb	210T Nylon	5,000 mm	7,000 mm	Aluminium 8.7 mm	Aluminium Y-Shape	3.9	1
7055	specificAttributes	190T Polyester	\N	PE	450 mm	\N	Fibreglass 7.9 mm	Pegs steel	2	0
7056	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7062	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7063	specificAttributes	Polyester	\N	PE	300 mm	\N	2 Pcs fibreglass 7 mm, 1 Pcs fibreglass 7.9 mm	Pegs steel	1.65	0
7067	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7068	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7069	specificAttributes	75D 190T Polyester Ripstop Breathable	75D 190T Polyester Honeycomb	210T Nylon	5,000 mm	7,000 mm	Aluminium 8.7 mm	Aluminium	3.5	1
7070	specificAttributes	Breathable Polyester	190T Polyester	PE	2,000 mm	10,000 mm	Fibreglass 8.5 mm	Pegs steel	5.9	1
7074	specificAttributes	190T Polyester	\N	PE	1,500 mm	\N	Fibreglass 6 mm	Pegs steel	2.2	0
7079	specificAttributes	190T Polyester	Breathable polyester	PE	2,000 mm	10,000 mm	Fibreglass 7.9 mm	Pegs steel	2.9	1
7082	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7085	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7086	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7087	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7088	specificAttributes	Breathable Polyester	190T Polyester	PE	2,000 mm	10,000 mm	Fibreglass 7.9 mm	Pegs steel	4.4	1
7095	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7097	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7233	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7234	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7236	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7238	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7239	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7241	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7243	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7244	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7251	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7254	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7256	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7261	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7265	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7267	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7268	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7270	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7271	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7273	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7274	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7276	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7278	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7280	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7282	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7284	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7505	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7510	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7512	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7516	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7522	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
7526	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
9021	specificAttributes	30D Nylon Ripstop Breathable	40D 240T Nylon Ripstop	210T Nylon	3000 mm	7000 mm	Aluminium 8.6 mm UL	Aluminium Y-Shape	2.7	0
9024	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
9120	specificAttributes	190T Polyester	Breathable polyester	PE	3,000 mm	10,000 mm	5 Pcs 11 mm Fibreglass	Pegs steel	18.8	1
9130	specificAttributes	75D 190T Polyester Ripstop Breathable	75D 190T Polyester Honeycomb	210T Nylon	5,000 mm	7,000 mm	Aluminium 8.7 mm	Aluminium	1.7	1
9136	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
9139	specificAttributes	190T Polyester	Breathable polyester	PE	3,000 mm	10,000 mm	3 Fibreglass 11 mm, Steel 16 mm	Pegs steel	11.1	1
9143	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
9149	specificAttributes	75D 190T Polyester Ripstop Breathable	75D 190T Polyester Honeycomb	210T Nylon	5,000 mm	7,000 mm	Aluminium 8.7 mm	Aluminium	1.1	1
9153	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
9156	specificAttributes	190T Polyester	Breathable polyester	PE	2,000 mm 	10,000 mm	Fibreglass 9.5 mm	Pegs steel	6.9	1
9158	specificAttributes	190T Polyester Ripstop Fire & waterresistent	190T Nylon Ripstop Breathable	210T Nylon	5,000 mm	10,000 mm	Aluminium 8.5 mm	17 pcs, Aluminium V-Shape	4.74	1
9169	specificAttributes	190T Polyester	Breathable polyester	PE	3,000 mm	10,000 mm	3 Pcs 11 mm Fibreglass 	Pegs Steel	12.4	1
9170	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
9176	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
9529	specificAttributes	190T Polyester	\N	190T Polyester	450 mm	\N	1 Pcs Fibreglass 6 mm	Pegs steel	1.75	0
9859	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
9863	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
9867	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
9871	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
