4	outdoor-interests		hit	1	0	a:1:{i:0;a:5:{s:3:"url";s:18:"/en/shop/Outdoor.*";s:4:"type";s:3:"url";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	O:41:"Pimcore\\Model\\Tool\\Targeting\\Rule\\Actions":13:{s:15:"redirectEnabled";b:0;s:11:"redirectUrl";s:0:"";s:12:"redirectCode";N;s:12:"eventEnabled";b:0;s:8:"eventKey";s:0:"";s:10:"eventValue";s:0:"";s:18:"codesnippetEnabled";b:0;s:15:"codesnippetCode";s:0:"";s:19:"codesnippetSelector";N;s:19:"codesnippetPosition";N;s:23:"programmaticallyEnabled";b:0;s:9:"personaId";i:3;s:14:"personaEnabled";b:1;}
5	vip-customer		visitor	1	1	a:2:{i:0;a:5:{s:4:"type";s:3:"url";s:3:"url";s:24:"#/en/checkout/completed#";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}i:1;a:5:{s:4:"type";s:12:"target_group";s:11:"targetGroup";i:5;s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	a:1:{i:0;a:3:{s:4:"type";s:19:"assign_target_group";s:11:"targetGroup";i:6;s:6:"weight";i:1;}}
6	regular-customer		visitor	1	2	a:2:{i:0;a:5:{s:4:"type";s:3:"url";s:3:"url";s:24:"#/en/checkout/completed#";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}i:1;a:5:{s:4:"type";s:12:"target_group";s:11:"targetGroup";i:4;s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	a:1:{i:0;a:3:{s:4:"type";s:19:"assign_target_group";s:11:"targetGroup";i:5;s:6:"weight";i:1;}}
7	new-customer		visitor	1	3	a:1:{i:0;a:5:{s:4:"type";s:3:"url";s:3:"url";s:24:"#/en/checkout/completed#";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	a:1:{i:0;a:3:{s:4:"type";s:19:"assign_target_group";s:11:"targetGroup";i:4;s:6:"weight";i:1;}}
8	basketball		hit	1	4	a:2:{i:0;a:5:{s:4:"type";s:3:"url";s:3:"url";s:27:"#/en/shop/Basketball\\~c\\d+#";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}i:1;a:7:{s:4:"type";s:10:"timeonsite";s:5:"hours";i:0;s:7:"minutes";i:0;s:7:"seconds";i:10;s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	a:1:{i:0;a:3:{s:4:"type";s:19:"assign_target_group";s:11:"targetGroup";i:7;s:6:"weight";i:1;}}
9	football		hit	1	5	a:2:{i:0;a:5:{s:4:"type";s:3:"url";s:3:"url";s:25:"#/en/shop/Football\\~c\\d+#";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}i:1;a:7:{s:4:"type";s:10:"timeonsite";s:5:"hours";i:0;s:7:"minutes";i:0;s:7:"seconds";i:10;s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	a:1:{i:0;a:3:{s:4:"type";s:19:"assign_target_group";s:11:"targetGroup";i:8;s:6:"weight";i:1;}}
10	handball		hit	1	6	a:2:{i:0;a:5:{s:4:"type";s:3:"url";s:3:"url";s:25:"#/en/shop/Handball\\~c\\d+#";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}i:1;a:7:{s:4:"type";s:10:"timeonsite";s:5:"hours";i:0;s:7:"minutes";i:0;s:7:"seconds";i:10;s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	a:1:{i:0;a:3:{s:4:"type";s:19:"assign_target_group";s:11:"targetGroup";i:9;s:6:"weight";i:1;}}
11	outdoor		hit	1	7	a:2:{i:0;a:5:{s:4:"type";s:3:"url";s:3:"url";s:24:"#/en/shop/Outdoor\\~c\\d+#";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}i:1;a:7:{s:4:"type";s:10:"timeonsite";s:5:"hours";i:0;s:7:"minutes";i:0;s:7:"seconds";i:10;s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	a:1:{i:0;a:3:{s:4:"type";s:19:"assign_target_group";s:11:"targetGroup";i:10;s:6:"weight";i:1;}}
12	running		hit	1	8	a:2:{i:0;a:5:{s:4:"type";s:3:"url";s:3:"url";s:24:"#/en/shop/Running\\~c\\d+#";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}i:1;a:7:{s:4:"type";s:10:"timeonsite";s:5:"hours";i:0;s:7:"minutes";i:0;s:7:"seconds";i:10;s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	a:1:{i:0;a:3:{s:4:"type";s:19:"assign_target_group";s:11:"targetGroup";i:11;s:6:"weight";i:1;}}
13	volleyball		hit	1	9	a:2:{i:0;a:5:{s:4:"type";s:3:"url";s:3:"url";s:27:"#/en/shop/Volleyball\\~c\\d+#";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}i:1;a:7:{s:4:"type";s:10:"timeonsite";s:5:"hours";i:0;s:7:"minutes";i:0;s:7:"seconds";i:10;s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	a:1:{i:0;a:3:{s:4:"type";s:19:"assign_target_group";s:11:"targetGroup";i:12;s:6:"weight";i:1;}}
